Date,water.level.above.sensor_CM0W,water.level.above.sensor_CM1W,water.level.above.sensor_CM2W,water.level.above.sensor_CM3W,water.level.above.sensor_CM4W,depth.gw_ft_CM0W,depth.gw_ft_CM1W,depth.gw_ft_CM2W,depth.gw_ft_CM3W,depth.gw_ft_CM4W,water.level.above.sensor_CMW2,WY
2019-04-27,8.517,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,2019
2019-05-04,8.387,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA,2019
2019-05-11,8.411,NA,NA,NA,NA,0.474,NA,NA,NA,NA,NA,2019
2019-05-18,8.527,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,2019
2019-05-25,8.566,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,2019
2019-06-01,8.394,NA,NA,NA,NA,0.491,NA,NA,NA,NA,NA,2019
2019-06-08,8.04,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,2019
2019-06-15,7.502,NA,NA,NA,NA,1.383,NA,NA,NA,NA,NA,2019
2019-06-22,6.946,NA,NA,NA,NA,1.939,NA,NA,NA,NA,NA,2019
2019-06-29,6.404,NA,NA,NA,NA,2.481,NA,NA,NA,NA,NA,2019
2019-07-06,5.862,NA,NA,NA,NA,3.023,NA,NA,NA,NA,NA,2019
2019-07-13,5.325,NA,NA,NA,NA,3.56,NA,NA,NA,NA,NA,2019
2019-07-20,4.795,NA,NA,NA,5.662,4.09,NA,NA,NA,4.033,NA,2019
2019-07-27,4.297,NA,NA,NA,NA,4.588,NA,NA,NA,NA,NA,2019
2019-08-03,3.831,NA,NA,NA,NA,5.054,NA,NA,NA,NA,NA,2019
2019-08-10,3.376,NA,NA,NA,NA,5.509,NA,NA,NA,NA,NA,2019
2019-08-17,2.917,NA,NA,NA,NA,5.968,NA,NA,NA,NA,NA,2019
2019-08-24,2.455,NA,NA,NA,NA,6.43,NA,NA,NA,NA,NA,2019
2019-08-31,2.035,NA,NA,NA,NA,6.85,NA,NA,NA,NA,NA,2019
2019-09-07,1.697,NA,NA,NA,NA,7.188,NA,NA,NA,NA,NA,2019
2019-09-14,1.497,NA,NA,NA,NA,7.388,NA,NA,NA,NA,NA,2019
2019-09-21,1.351,NA,NA,NA,NA,7.534,NA,NA,NA,NA,NA,2019
2019-09-28,1.21,NA,NA,NA,NA,7.675,NA,NA,NA,NA,NA,2019
2019-10-05,1.08,NA,NA,NA,NA,7.805,NA,NA,NA,NA,NA,2020
2019-10-12,0.95,NA,NA,NA,NA,7.935,NA,NA,NA,NA,NA,2020
2019-10-19,0.821,NA,NA,NA,NA,8.064,NA,NA,NA,NA,NA,2020
2019-10-26,0.7,NA,NA,NA,NA,8.185,NA,NA,NA,NA,NA,2020
2019-11-02,0.536,NA,NA,NA,NA,8.349,NA,NA,NA,NA,NA,2020
2019-11-09,0.385,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,2020
2019-11-16,0.303,NA,NA,NA,NA,8.582,NA,NA,NA,NA,NA,2020
2019-11-23,0.28,NA,NA,NA,NA,8.605,NA,NA,NA,NA,NA,2020
2019-11-30,0.297,NA,NA,NA,NA,8.588,NA,NA,NA,NA,NA,2020
2019-12-07,0.309,0.007,0,0,NA,8.576,4.785,4.333,4.375,NA,NA,2020
2019-12-14,1.687,0.006,0,0.687,NA,7.198,4.786,4.333,3.688,NA,NA,2020
2019-12-21,1.869,0.006,0,0.612,NA,7.016,4.786,4.333,3.763,NA,NA,2020
2019-12-28,1.862,0.007,0,0.416,NA,7.023,4.785,4.333,3.959,NA,NA,2020
2020-01-04,1.957,0.005,0,0.36,NA,6.928,4.787,4.333,4.015,NA,NA,2020
2020-01-11,1.964,0.008,0,0.205,NA,6.921,4.784,4.333,4.17,NA,NA,2020
2020-01-18,1.83,0.004,0,0.022,NA,7.055,4.788,4.333,4.353,NA,NA,2020
2020-01-25,3.572,0.163,1.36,2.26,NA,5.313,4.629,2.973,2.115,NA,NA,2020
2020-02-01,7.277,2.225,4.255,3.629,NA,1.608,2.567,0.078,0.746,NA,NA,2020
2020-02-08,8.075,3.713,4.267,3.822,NA,0.81,1.079,0.066,0.553,NA,NA,2020
2020-02-15,8.255,3.983,4.253,3.876,NA,0.63,0.809,0.08,0.499,NA,NA,2020
2020-02-22,8.078,3.923,4.109,3.832,NA,0.807,0.869,0.224,0.543,NA,NA,2020
2020-02-29,7.838,3.811,3.809,3.766,NA,1.047,0.981,0.524,0.609,NA,NA,2020
2020-03-07,7.611,3.675,3.548,3.724,NA,1.274,1.117,0.785,0.651,NA,NA,2020
2020-03-14,7.438,3.561,3.414,3.76,NA,1.447,1.231,0.919,0.615,NA,NA,2020
2020-03-21,7.881,3.852,3.843,3.942,NA,1.004,0.94,0.49,0.433,NA,NA,2020
2020-03-28,8.335,4.048,4.17,4.01,NA,0.55,0.744,0.163,0.365,NA,NA,2020
2020-04-04,8.567,4.203,4.33,4.003,NA,0.318,0.589,0.008,0.372,NA,NA,2020
2020-04-11,8.494,4.138,4.334,3.961,NA,0.391,0.654,0.003,0.414,NA,NA,2020
2020-04-18,8.37,4.07,4.305,3.966,NA,0.515,0.722,0.028,0.409,NA,NA,2020
2020-04-25,8.05,3.965,NA,3.881,8.737,0.835,0.827,NA,0.494,0.958,NA,2020
2020-05-02,7.605,3.757,NA,3.753,8.337,1.28,1.035,NA,0.622,1.358,NA,2020
2020-05-09,7.343,3.586,NA,3.759,8.124,1.542,1.206,NA,0.616,1.571,NA,2020
2020-05-16,7.656,3.768,NA,3.984,8.608,1.229,1.024,NA,0.391,1.087,NA,2020
2020-05-23,6.9,3.144,NA,3.58,7.92,1.985,1.648,NA,0.795,1.775,NA,2020
2020-05-30,6.387,2.745,NA,3.242,7.362,2.498,2.047,NA,1.133,2.333,NA,2020
2020-06-06,5.918,2.358,NA,2.901,6.896,2.967,2.434,NA,1.474,2.799,NA,2020
2020-06-13,5.465,1.938,NA,2.58,6.501,3.42,2.854,NA,1.795,3.194,NA,2020
2020-06-20,4.958,1.416,NA,2.149,6.063,3.927,3.376,NA,2.226,3.632,NA,2020
2020-06-27,4.444,0.838,NA,1.705,5.61,4.441,3.954,NA,2.67,4.085,NA,2020
2020-07-04,3.941,0.221,0.212,1.315,5.172,4.944,4.571,4.121,3.06,4.523,NA,2020
2020-07-11,3.427,0.026,0.06,0.943,4.71,5.458,4.766,4.273,3.432,4.985,NA,2020
2020-07-18,3.04,0.176,0.139,0.646,4.419,5.845,4.616,4.194,3.729,5.276,NA,2020
2020-07-25,2.554,0.205,0.17,0.298,4.149,6.331,4.587,4.163,4.077,5.546,NA,2020
2020-08-01,2.103,0.207,0.173,0.162,3.999,6.782,4.585,4.16,4.213,5.696,NA,2020
2020-08-08,1.768,0.208,0.176,0.165,3.856,7.117,4.584,4.157,4.21,5.839,NA,2020
2020-08-15,1.482,0.109,0.076,0.072,3.653,7.403,4.683,4.257,4.303,6.042,NA,2020
2020-08-22,1.255,0.035,0,0,3.503,7.63,4.757,4.333,4.375,6.192,NA,2020
2020-08-29,1.076,0.035,0,0,3.421,7.809,4.757,4.333,4.375,6.274,NA,2020
2020-09-05,0.938,0.03,0,0,3.369,7.947,4.762,4.333,4.375,6.326,NA,2020
2020-09-12,0.941,0.023,0,0,3.315,7.944,4.769,4.333,4.375,6.38,NA,2020
2020-09-19,0.764,0.026,0,0,3.245,8.121,4.766,4.333,4.375,6.45,NA,2020
2020-09-26,0.606,0.028,0,0,3.157,8.279,4.764,4.333,4.375,6.538,NA,2020
2020-10-03,0.604,0.021,0,0,3.037,8.281,4.771,4.333,4.375,6.658,NA,2021
2020-10-10,0.568,0.026,0,0,2.908,8.317,4.766,4.333,4.375,6.787,NA,2021
2020-10-17,0.546,0.022,0,0,2.833,8.339,4.77,4.333,4.375,6.862,NA,2021
2020-10-24,0.431,0.013,0,0,2.751,8.454,4.779,4.333,4.375,6.944,NA,2021
2020-10-31,0.289,0.011,0,0,2.684,8.596,4.781,4.333,4.375,7.011,NA,2021
2020-11-07,0.283,0.01,0,0,2.62,8.602,4.782,4.333,4.375,7.075,NA,2021
2020-11-14,0.328,0.007,0,0.013,2.547,8.557,4.785,4.333,4.362,7.148,NA,2021
2020-11-21,0.29,0.002,0,0.048,2.459,8.595,4.79,4.333,4.327,7.236,NA,2021
2020-11-28,0.266,0.002,0,0.059,2.348,8.619,4.79,4.333,4.316,7.347,NA,2021
2020-12-05,0.268,0.006,0,0.053,2.213,8.617,4.786,4.333,4.322,7.482,NA,2021
2020-12-12,0.299,0.005,0,0.051,2.05,8.586,4.787,4.333,4.324,7.645,NA,2021
2020-12-19,0.298,0.005,0,0.043,1.841,8.587,4.787,4.333,4.332,7.854,NA,2021
2020-12-26,0.3,0.007,0,0.05,1.598,8.585,4.785,4.333,4.325,8.097,NA,2021
2021-01-02,0.315,0.013,0,0.051,1.063,8.57,4.779,4.333,4.324,8.632,NA,2021
2021-01-09,0.318,0.011,0,0.052,1.151,8.567,4.781,4.333,4.323,8.544,NA,2021
2021-01-16,1.132,0.016,0,0.053,4.185,7.753,4.776,4.333,4.322,5.51,NA,2021
2021-01-23,1.743,0.002,0,0.039,4.519,7.142,4.79,4.333,4.336,5.176,NA,2021
2021-01-30,1.563,0.007,0,0.048,4.574,7.322,4.785,4.333,4.327,5.121,NA,2021
2021-02-06,1.829,0.011,0.012,0.049,4.988,7.056,4.781,4.321,4.326,4.707,NA,2021
2021-02-13,2.619,0.002,0.687,0.89,6.078,6.266,4.79,3.646,3.485,3.617,NA,2021
2021-02-20,3.065,0.005,1.362,1.409,7.588,5.82,4.787,2.971,2.966,2.107,NA,2021
2021-02-27,3.803,0.01,2.822,1.976,8.865,5.082,4.782,1.511,2.399,0.83,NA,2021
2021-03-06,4.418,0.033,3.536,3.091,9.156,4.467,4.759,0.797,1.284,0.539,NA,2021
2021-03-13,5.268,0.719,3.918,3.701,9.305,3.617,4.073,0.415,0.674,0.39,NA,2021
2021-03-20,6.683,2.359,4.271,4.084,9.291,2.202,2.433,0.064,0.291,0.404,NA,2021
2021-03-27,8.402,3.892,4.423,4.226,9.361,0.483,0.9,0,0.149,0.334,NA,2021
2021-04-03,8.556,4.075,4.423,4.187,9.312,0.329,0.717,0,0.188,0.383,NA,2021
2021-04-10,8.427,3.982,4.349,4.141,9.125,0.458,0.81,0.017,0.234,0.57,NA,2021
2021-04-17,8.124,3.841,4.003,4.1,8.838,0.761,0.951,0.33,0.275,0.857,NA,2021
2021-04-24,8.031,3.802,3.853,4.158,8.795,0.854,0.99,0.481,0.217,0.9,NA,2021
2021-05-01,7.345,3.313,3.293,3.87,8.261,1.54,1.479,1.04,0.505,1.434,NA,2021
2021-05-08,6.739,2.796,2.766,3.5,7.674,2.146,1.996,1.567,0.875,2.021,NA,2021
2021-05-15,6.186,2.352,2.37,3.196,7.187,2.699,2.44,1.963,1.179,2.508,NA,2021
2021-05-22,5.656,1.871,2.01,2.847,6.737,3.229,2.921,2.323,1.528,2.958,NA,2021
2021-05-29,5.118,1.327,1.601,2.45,6.276,3.767,3.465,2.732,1.925,3.419,NA,2021
2021-06-05,4.595,0.743,1.14,2.031,5.808,4.29,4.049,3.193,2.344,3.887,NA,2021
2021-06-12,4.118,0.177,0.676,1.609,5.406,4.767,4.615,3.657,2.766,4.289,NA,2021
2021-06-19,3.614,0.034,0.2,1.157,4.995,5.271,4.758,4.133,3.218,4.7,NA,2021
2021-06-26,3.122,0.034,0.06,0.697,4.567,5.763,4.758,4.273,3.678,5.128,NA,2021
2021-07-03,2.689,0.105,0.047,0.308,4.23,6.196,4.687,4.286,4.067,5.465,0.203,2021
2021-07-10,2.289,0.175,NA,0.202,4.083,6.596,4.617,NA,4.173,5.612,0.2,2021
2021-07-17,1.909,0.178,NA,0.195,3.953,6.976,4.614,NA,4.18,5.742,0.194,2021
2021-07-24,1.675,0.178,NA,0.187,3.836,7.21,4.614,NA,4.188,5.859,0.193,2021
2021-07-31,1.509,0.177,NA,0.18,3.741,7.376,4.615,NA,4.195,5.954,0.188,2021
2021-08-07,1.357,0.181,NA,0.183,3.668,7.528,4.611,NA,4.192,6.027,0.19,2021
2021-08-14,1.204,0.178,NA,0.182,3.6,7.681,4.614,NA,4.193,6.095,0.186,2021
2021-08-21,1.058,0.177,NA,0.182,3.546,7.827,4.615,NA,4.193,6.149,0.185,2021
2021-08-28,0.909,0.179,NA,0.179,3.51,7.976,4.613,NA,4.196,6.185,0.183,2021
2021-09-04,0.691,0.137,NA,0.143,3.428,8.194,4.655,NA,4.232,6.267,0.146,2021
2021-09-11,0.426,0.02,NA,0.041,3.267,8.459,4.772,NA,4.334,6.428,0.03,2021
2021-09-18,0.359,0.024,NA,0.044,3.211,8.526,4.768,NA,4.331,6.484,0.025,2021
2021-09-25,0.342,0.02,NA,0.041,3.145,8.543,4.772,NA,4.334,6.55,0.017,2021
2021-10-02,0.33,0.02,NA,0.038,3.057,8.555,4.772,NA,4.337,6.638,0.01,NA
2021-10-09,0.315,0.011,NA,0.017,2.952,8.57,4.781,NA,4.358,6.743,0.002,NA
2021-10-16,0.338,0.011,NA,0.034,2.858,8.547,4.781,NA,4.341,6.837,0,NA
2021-10-23,1.544,0.012,NA,0.83,5.009,7.341,4.78,NA,3.545,4.686,0,NA
2021-10-30,2.527,0.012,NA,0.954,5.562,6.358,4.78,NA,3.421,4.133,0,NA
2021-11-06,2.654,0.006,NA,0.618,5.35,6.231,4.786,NA,3.757,4.345,0,NA
2021-11-13,2.79,0.01,NA,0.476,5.484,6.095,4.782,NA,3.899,4.211,0.02,NA
2021-11-20,2.723,0.005,NA,0.259,5.505,6.162,4.787,NA,4.116,4.19,0.265,NA
2021-11-27,2.584,0.009,NA,0.092,5.464,6.301,4.783,NA,4.283,4.231,0.322,NA
2021-12-04,2.454,0.056,NA,0.107,5.386,6.431,4.736,NA,4.268,4.309,0.252,NA
2021-12-11,2.411,0.152,NA,0.225,5.624,6.474,4.64,NA,4.15,4.071,0.41,NA
2021-12-18,2.66,0.154,NA,0.792,6.275,6.225,4.638,NA,3.583,3.42,0.899,NA
2021-12-25,4.331,0.166,NA,2.652,8.385,4.554,4.626,NA,1.723,1.31,2.54,NA
2022-01-01,5.411,0.992,NA,3.256,9.179,3.474,3.8,NA,1.119,0.516,3.857,NA
2022-01-08,7.496,3.091,NA,4.153,9.406,1.389,1.701,NA,0.222,0.289,4.49,NA
2022-01-15,8.633,4.082,NA,4.342,9.464,0.252,0.71,NA,0.043,0.231,4.532,NA
2022-01-22,8.765,4.18,NA,4.435,9.479,0.12,0.612,NA,0,0.216,4.534,NA
2022-01-29,8.727,4.164,NA,4.402,9.447,0.158,0.628,NA,0.003,0.248,4.521,NA
2022-02-05,8.818,4.296,NA,4.475,9.54,0.068,0.496,NA,0,0.156,4.545,NA
2022-02-12,8.875,4.456,NA,4.537,9.683,0.019,0.336,NA,0,0.027,4.593,NA
2022-02-19,8.84,NA,NA,4.474,NA,0.051,NA,NA,0.003,NA,4.578,NA
2022-02-26,8.869,NA,NA,4.511,NA,0.028,NA,NA,0,NA,4.593,NA
2022-03-05,8.833,NA,NA,4.457,NA,0.055,NA,NA,0.002,NA,4.584,NA
2022-03-12,8.885,NA,NA,4.498,NA,0.012,NA,NA,0,NA,4.619,NA
2022-03-19,8.832,NA,NA,4.449,NA,0.054,NA,NA,0,NA,4.622,NA
2022-03-26,8.745,NA,NA,4.46,NA,0.14,NA,NA,0,NA,4.598,NA
2022-04-02,8.304,NA,NA,4.252,NA,0.581,NA,NA,0.126,NA,4.208,NA
2022-04-09,8.207,NA,NA,4.288,NA,0.678,NA,NA,0.095,NA,3.969,NA
2022-04-16,8.655,NA,NA,4.394,NA,0.23,NA,NA,0.011,NA,4.444,NA
2022-04-23,8.582,NA,NA,4.379,NA,0.303,NA,NA,0.002,NA,4.473,NA
2022-04-30,8.42,NA,NA,4.357,NA,0.465,NA,NA,0.02,NA,4.426,NA
2022-05-07,8.389,NA,NA,4.385,NA,0.496,NA,NA,0.009,NA,4.377,NA
2022-05-14,7.871,NA,NA,4.228,NA,1.014,NA,NA,0.147,NA,3.897,NA
2022-05-21,7.292,NA,NA,3.914,NA,1.593,NA,NA,0.461,NA,3.289,NA
2022-05-28,6.908,NA,NA,3.868,NA,1.977,NA,NA,0.507,NA,2.972,NA
2022-06-04,6.404,NA,NA,3.694,NA,2.481,NA,NA,0.681,NA,2.605,NA
2022-06-11,5.865,NA,NA,3.424,NA,3.02,NA,NA,0.951,NA,2.22,NA
2022-06-18,5.378,NA,NA,3.194,NA,3.507,NA,NA,1.181,NA,1.86,NA
2022-06-25,4.789,NA,NA,2.537,NA,4.096,NA,NA,1.838,NA,1.335,NA
2022-07-02,4.251,NA,NA,2.02,NA,4.634,NA,NA,2.355,NA,0.795,NA
2022-07-09,3.723,NA,NA,1.487,NA,5.162,NA,NA,2.888,NA,0.252,NA
2022-07-16,3.177,NA,NA,0.95,NA,5.708,NA,NA,3.425,NA,0.05,NA
2022-07-23,2.637,NA,NA,0.465,NA,6.248,NA,NA,3.91,NA,0.028,NA
2022-07-30,2.129,NA,NA,0.085,NA,6.756,NA,NA,4.29,NA,0.027,NA
2022-08-06,1.726,NA,NA,0,NA,7.159,NA,NA,4.375,NA,0.008,NA
2022-08-13,1.498,NA,NA,0,NA,7.387,NA,NA,4.375,NA,0.019,NA
2022-08-20,1.319,NA,NA,0,NA,7.566,NA,NA,4.375,NA,0.019,NA
